#separator:Tab
#html:false
#deck:Arteterapie
#columns:Front	Back	Tags
#tags column:3
Případ 6: čeho se v arteterapii VYVAROVAT?	Žádné blikání/stroboskop (fotosenzitivita) ani rizikové nástroje. Nepřetěžovat (únava a přetížení provokují záchvaty). Nezlehčovat zhoršování (grand mal) — arteterapie nenahrazuje neurologii a medikaci. Nehodnotit esteticky a nesrovnávat. Nepřičítat negativní vlastnosti/vinu (stigma neurotizuje; uzavřenost je často sekundární). — Zdroj: arte Šicková-Fabrici ⚠️; klinicky Vágnerová STR.46–48	pripad6 arteterapie chyby
Návrh: cyklus jednoho arteterapeutického sezení u epilepsie (případ 6)?	1 Klid + bezpečí (rituál) → 2 Uvolnění napětí → 3 Symbolická tvorba → 4 Reflektivní dialog → 5 Ocenění PROCESU (↺ stále stejné pořadí). Klidné bezpečné prostředí (žádné blikání), přiměřená zátěž, prostor pro ventil a reflexi; arteterapie doplňuje neurologickou léčbu. — Zdroj: arte struktura Šicková-Fabrici/Slavík ⚠️ ověřit; princip Vágnerová STR.46–48	pripad6 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 6 (od jednoduchých po náročnější)?	Progrese: uvolňující stopa/barva → malba „jak se cítím“ → symbol nemoci/strachu (s reflexí) → modelování → skupinová tvorba (destigmatizace). Uvolňující stopa = ventil napětí; malba úzkosti = vyjádření strachu ze záchvatu; symbol nemoci a zdrojů síly = zpracování stigmatu (zachovaný intelekt); modelování = haptické uvolnění (bezpečné nástroje). — Zdroj: Šicková-Fabrici / Slavík / Liebmann ⚠️ ověřit	pripad6 arteterapie-technika techniky
Případ 6: proč lze u epilepsie pracovat se symbolem a reflexí (na rozdíl od MR/demence)?	Většina epileptiků má NORMÁLNÍ inteligenci — výrazná porucha rozumu je výjimka. Proto lze využít plnohodnotný REFLEKTIVNÍ DIALOG, symbolickou tvorbu a vědomé zpracování stigmatu a sebepojetí. U MR (senzomotorická úroveň) a u demence (úpadek kognice) to nelze — tam se symbol interpretuje zdrženlivě. — Zdroj: arte Slavík ⚠️ ověřit; intelekt klinicky Vágnerová STR.47	pripad6 artefiletika symbol-a-reflexe
Co je projekce v arteterapii a jak ji u epilepsie (případ 6) využít?	PROJEKCE = promítnutí vnitřního stavu (strach ze záchvatu, stud, bezmoc) do díla; základ arteterapeutické DIAGNOSTIKY. U epilepsie (zachovaný intelekt) lze projekci propojit s vědomou reflexí — klientka může své dílo komentovat a zpracovávat úzkost a stigma. Interpretovat ve spolupráci s klientkou, ne za ni. — Zdroj: Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.46–47	pripad6 arteterapie-diagnostika projekce
Případ 7 (středně těžká nedoslýchavost): jakou roli má arteterapie?	Arteterapie jako IDEÁLNÍ VIZUÁLNÍ / NEVERBÁLNÍ kanál — obchází KOMUNIKAČNÍ BARIÉRU (nejzávažnější sekundární handicap sluchové vady). Tvorba nevyžaduje sluch ani bohatou slovní zásobu; využívá nedotčený ZRAK a jemnou motoriku. Klíč: chudá slovní zásoba je důsledek vady, NE sníženého intelektu. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR. 67–68	pripad7 arteterapie indikace
Případ 7: proč arteterapie a na co cílí? (bio·psycho·sociál)	BIO: využívá NEDOTČENÝ ZRAK a jemnou motoriku (sluch postižen, intelekt a ostatní smysly ne). PSYCHO: běžná komunikace = trvalý STRES → tvorba je komunikace BEZ STRESU, ventil, zážitek úspěchu. SOCIÁL: skupina jako most do kolektivu proti IZOLACI (kontakt nestojí na řeči). POZOR: arte neléčí sluchovou vadu — je podpůrná. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR. 67–69	pripad7 arteterapie bio-psycho-social
Jak vést arteterapii u nedoslýchavosti — čím se vyznačuje?	VIZUÁLNÍ zadání a doprovod: UKÁZAT, ne jen říct; zrakový kontakt, doprovod ZNAKEM / ODEZÍRÁNÍM, obrázkové karty (odezírání je velmi obtížné). Tvorba jako řeč tam, kde vázne slovní zásoba. Reflexe krátce a názorně (gesta, znak, ukazování v díle). KLIDNÉ prostředí (méně únavy z koncentrace). Proces > produkt. — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; klinicky Vágnerová STR. 67–68	pripad7 arteterapie principy-u-sluchu
Případ 7: který arteterapeutický přístup zvolit a jaké cíle?	PRODUKTIVNÍ tvorba, INDIVIDUÁLNÍ i SKUPINOVÁ, VIZUÁLNĚ VEDENÁ (s doprovodem znaku/odezírání), proces-orientovaná. Cíle: komunikace bez stresu, sebevyjádření a identita bez nároku na sluch, rozvoj pojmů přes tvorbu, začlenění do kolektivu proti izolaci. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR. 67–69	pripad7 arteterapie volba-pristupu
Případ 7: čeho se v arteterapii VYVAROVAT?	Nezaměňovat chudou slovní zásobu za snížený INTELEKT (nesnižovat nároky „jako u MR“). Nemluvit zády / rychle / bez zrakového kontaktu (znemožní odezírání). Nespoléhat jen na verbální instrukce — UKÁZAT. Nevykládat impulzivní reakce jako „drzost“ (komunikační stres). Nehodnotit esteticky; nenechat klienta izolovaného. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR. 67–69	pripad7 arteterapie chyby
Návrh: cyklus jednoho arteterapeutického sezení u nedoslýchavosti?	1 Vizuální naladění (ukázat) → 2 Pojem + obraz → 3 Vlastní tvorba → 4 Vizuální sdílení (znak/karty) → 5 Ocenění procesu (↺). Instrukce i sdílení vedeny VIZUÁLNĚ (ukázka, znak, odezírání, obrázky), ne dlouhými větami; klidné prostředí kvůli únavě z koncentrace. — Zdroj: arte struktura Liebmann ⚠️ ověřit; komunikace klinicky Vágnerová STR. 67–68	pripad7 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 7 (jednoduché → náročnější)?	Progrese: obraz jako sdělení → slovo + obraz (pojmy) → PŘÍBĚH V OBRAZECH / komiks → koláž emocí → společný skupinový projekt. „Řekni to obrazem“ = komunikace bez sluchu; slovníček s obrázky = rozvoj pojmů (s logopedem); komiks = vyprávění bez dlouhých vět; skupinový projekt = most do kolektivu. — Zdroj: Šicková-Fabrici / Slavík / Liebmann ⚠️ ověřit	pripad7 arteterapie-technika techniky
Případ 7: jak arteterapie rozvíjí pojmy a proč pozor na muzikoterapii?	Rozvoj POJMŮ přes tvorbu: nové slovo + OBRAZ + vlastní zážitek z tvorby → pojem získá reálný obsah (artefiletický přesah, propojit s logopedií). POZOR: z expresivních terapií je MUZIKOTERAPIE u sluchové vady omezená — vhodnější jsou vizuální a pohybové (drama, tanečně-pohybová přes vibrace/rytmus). — Zdroj: Slavík / Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR. 68	pripad7 artefiletika rozvoj-pojmu
Případ 7 vs. 13 — jak se liší arteterapeutický plán? (opačné smyslové modality)	OPAČNÉ MODALITY → opačné těžiště technik. 7 = SLUCH postižen, ZRAK nedotčen → arte jako ideální VIZUÁLNÍ kanál, doprovod znakem/odezíráním. 13 = ZRAK chybí (praktická slepota) → těžiště v HAPTICE, modelování, struktuře; vizuální techniky nelze. Stejné expresivní médium, jiný vstupní smysl. — Zdroj: klinicky Vágnerová STR. 65–68; arte ⚠️ ověřit	pripad7 klientská skupina srovnani-7-13
Případ 8 (DMO kvadruparetická, 14 let): proč právě arteterapie? (bio·psycho·sociál)	Při postižení volní motoriky VŠECH končetin zprostředkuje prožitek AKTÉRSTVÍ a sebevyjádření přes ADAPTOVANOU a ASISTOVANOU tvorbu. BIO: senzomotorika/haptika s pomůckami, bazální stimulace; POZOR napětí zvyšuje spasticitu. PSYCHO: aktérství proti pasivitě, tělesné sebepojetí v adolescenci. SOCIÁL: dílo jako most ke vrstevníkům. POZOR: arteterapie NELÉČÍ DMO (poškození CNS) — je podpůrná. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.41–42, 58, 70	pripad8 arteterapie indikace
Případ 8: jak adaptovat tvorbu u kvadruparézy (adaptované pomůcky, asistovaná tvorba)?	ADAPTOVANÉ POMŮCKY: úchopové úpravy (zesílené násady, fixace štětce), alternativní nástroje (brčko/foukaná barva, válečky). ASISTOVANÁ TVORBA: dopomoc, vedení ruky. Alternativní techniky: otisky s dopomocí, smyslová stimulace. Dílo vzniká „rukou klienta s podporou”. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.41	pripad8 arteterapie-technika adaptace-a-asistence
Případ 8: co je prožitek AKTÉRSTVÍ a proč je u asistované tvorby klíčový?	Aktérství = prožitek „tohle jsem udělala JÁ”. I při PLNÉ dopomoci rozhoduje klientka o barvě, místě, tématu — dílo je „její”. Chrání proti pasivně-receptivnímu postoji a nesamostatnosti. POZOR: asistovaná tvorba ≠ dělat dílo „za klientku” (jinak se aktérství ztrácí). — Zdroj: arte Slavík ⚠️ ověřit; klinicky Vágnerová STR.58	pripad8 arteterapie akterstvi
Případ 8: proč tvořit KLIDNĚ (spasticita) a jak na to?	Každý intenzivnější prožitek/napětí se promítá do MOTORIKY → zvýšení spasticity a mimovolních záškubů. Proto: tvořit pomalu, s POLOHOVÁNÍM a relaxací, netlačit a nespěchat. Relaxace a uvolnění snižují napětí a usnadňují pohyb. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.41–42	pripad8 arteterapie spasticita-klid
Případ 8: jak vést arteterapii u DMO (čím se vyznačuje)?	Proces > produkt (nehodnotit esteticky). ADAPTOVANÉ pomůcky a ASISTOVANÁ tvorba. KLID a relaxace (napětí zvyšuje spasticitu), polohování. BAZÁLNÍ/multisenzorická stimulace. NEPODCEŇOVAT intelekt (vzhled, vozík a dysartrie ≠ MR) — zadání podle schopností. Aktérství: klientka rozhoduje. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.41–43	pripad8 arteterapie principy
Případ 8: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: PRODUKTIVNÍ, ale ASISTOVANÁ (adaptované pomůcky, dopomoc), individuální i skupinová, NEDIREKTIVNÍ, PROCES-orientovaná, vedená KLIDNĚ (relaxace, polohování). Cíle: prožitek aktérství a sebevyjádření, jemná motorika s dopomocí, snížení spasticity, tělesné sebepojetí v adolescenci, sociální zapojení. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR.41–42, 70	pripad8 arteterapie volba-pristupu
Případ 8: čeho se v arteterapii VYVAROVAT?	Nepodceňovat intelekt kvůli vzhledu, vozíku a dysartrii (nehodnotit jako MR). Netlačit a nespěchat (afekt/napětí zvyšují spasticitu). Nedělat dílo „za ni” bez jejího rozhodování (ztráta aktérství). Nehodnotit dílo esteticky a nesrovnávat s vrstevníky. Nepodporovat hyperprotektivitu a vynucenou nesamostatnost. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.42–43	pripad8 arteterapie chyby
Návrh: jak vypadá cyklus arteterapeutického sezení u DMO (asistovaná tvorba)?	1 Polohování + uvolnění → 2 Smyslové naladění (haptika) → 3 Volba klientky (barva/téma) → 4 Asistovaná tvorba → 5 Ocenění aktérství a procesu (↺). Tvoří se klidně, s polohováním a dopomocí; klientka rozhoduje, dílo je „její”. — Zdroj: arte adaptace Šicková-Fabrici ⚠️ ověřit; klid/spasticita klinicky Vágnerová STR.41–42	pripad8 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 8 (asistované → samostatnější)?	Progrese: smyslová/bazální stimulace → otisky s dopomocí → foukaná barva/alternativní nástroj → malba s úchopovou adaptací → společné dílo se skupinou. Otisky dlaní/nohou = vlastní stopa i bez úchopu; foukaná barva/brčko = tvorba bez jemného úchopu; úchopová adaptace = jemná motorika s dopomocí; skupina = sociální zkušenost. — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit	pripad8 arteterapie-technika techniky
Co je bazální stimulace a proč ji u případu 8 využít?	BAZÁLNÍ (multisenzorická) stimulace = oslovení smyslů a tělesného vnímání (hmat, struktura, teplota, zrak, sluch) u osob s těžkým tělesným postižením. U kvadruparézy umožní PROŽITEK skrze smysly i tam, kde je přesný pohyb omezený — prožitek místo přesného produktu. — Zdroj: Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.41	pripad8 arteterapie-technika bazalni-stimulace
Případ 9 (Downův syndrom, 11 let): proč právě arteterapie a o co se opírá?	Nabízí NEVERBÁLNÍ kanál tam, kde je řeč opožděná, a staví na silných stránkách Downa: emoční vřelost, přizpůsobivost, klidné ladění. Akcent na VZTAH, NÁPODOBU a RYTMUS. POZOR: arteterapie NELÉČÍ MR/trizomii (vrozená chromozomální odchylka) — je podpůrná (komunikace, vztah, motorika, radost z tvorby). — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.78–81	pripad9 arteterapie indikace
Případ 9: které dělení arteterapie zvolit a proč skupinová?	PRODUKTIVNÍ (vlastní tvorba), individuální i silně SKUPINOVÁ, ve škole s artefiletickým přesahem. Klient je dobře laděný a sociálně přizpůsobivý → těží ze SKUPINOVÉ arteterapie (sdílení, nápodoba, příslušnost, radost). — Zdroj: arte Liebmann ⚠️ ověřit; klinicky Vágnerová STR.79	pripad9 skupinová arteterapie deleni
Jak vést arteterapii u Downova syndromu (čím se vyznačuje)?	Proces > produkt (nehodnotit esteticky). NEVERBÁLNÍ komunikace na prvním místě (obraz, dotek, obrázkové/AAK karty místo vět). VZTAH a emoční VŘELOST = bezpečí a motivace. NÁPODOBA a RYTMUS (tvorba podle vzoru, opakované pohyby — vyhovuje bradypsychismu). Krátká jasná zadání, stálý rituál, tvorba POD DOHLEDEM. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.79–82	pripad9 arteterapie principy
Případ 9: na čem v arteterapii STAVĚT (silné stránky Downa)?	Emoční vřelost a vztah (citová jistota = motivátor) → nápodoba a rytmus (tvorba podle vzoru) → skupinové sdílení (přizpůsobivost, příslušnost) → pochvala PROCESU → haptické techniky s dopomocí. Využít, že klient je klidný, dobře laděný a přizpůsobivý. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.79, 81	pripad9 arteterapie volba-pristupu
Případ 9: čeho se v arteterapii VYVAROVAT?	Nehodnotit dílo esteticky a nesrovnávat děti. Nepřetěžovat a nespěchat (respektovat bradypsychismus a opožděný vývoj). Netlačit na verbální interpretaci (opožděná řeč → obraz/AAK). Nenechávat tvořit samostatně bez dohledu (dítě nepracuje samostatně). Nezaměňovat arteterapii za „výtvarku”. — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.79, 80	pripad9 arteterapie chyby
Návrh: cyklus jednoho arteterapeutického sezení u Downova syndromu?	1 Uvítací rituál (vřelost) → 2 Rytmická haptická rozcvička → 3 Tvorba podle vzoru/nápodoba → 4 Neverbální sdílení ve skupině → 5 Ocenění procesu a radost (↺ stále stejné pořadí). Tvorba POD DOHLEDEM, krátké kroky, akcent na vztah, nápodobu a rytmus. — Zdroj: arte struktura Liebmann ⚠️ ověřit; stálost/dohled klinicky Vágnerová STR.79, 82–83	pripad9 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 9 (od jednoduchých po náročnější)?	Progrese: otisky/haptika → rytmické čmárání (na hudbu) → malba podle vzoru (nápodoba) → modelování → společná skupinová koláž. Otisky/prstové barvy = senzomotorika a radost; rytmické čmárání = spojení s muzikoterapií; modelování = jemná motorika (opožděný psychomotorický vývoj); koláž = sociální zapojení. — Zdroj: Šicková-Fabrici / Liebmann ⚠️ ověřit	pripad9 arteterapie-technika techniky
Případ 9: jak v arteterapii nahradit opožděnou řeč (komunikace)?	NEVERBÁLNÍ sdílení přes dílo + obrázkové/AAK karty místo složitých vět. Propojit s logopedií/AAK. Doteky, gesta a tvorba jako srozumitelnější jazyk; reflektivní dialog jen velmi zjednodušený. Řeč je u Downa postižena obsahově i formálně (agramatismy, méně přesná výslovnost i kvůli velkému jazyku). — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; klinicky Vágnerová STR.80	pripad9 arteterapie neverbalni-komunikace
Co je projekce v arteterapii a jak ji u Downova syndromu interpretovat?	PROJEKCE = promítnutí vnitřního stavu a prožívání do díla; základ arteterapeutické DIAGNOSTIKY. U Downa (MR na hranici lehčí–středně těžké) interpretovat ZDRŽENLIVĚ — nepřeceňovat symboliku, respektovat senzomotorickou úroveň a opožděnou řeč. — Zdroj: Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.79	pripad9 arteterapie-diagnostika projekce
Případ 10 (poruchy příjmu potravy, 19 let): proč právě arteterapie? (bio·psycho·sociál)	BIO: práce s TĚLOVÝM SCHÉMATEM/body image přes obraz a hmotu — konfrontace zkreslené představy „jsem tlustá” s realitou. PSYCHO: vyjádření emocí (úzkost, vina) + pole, kde NELZE SELHAT (proces > produkt) jako protilék na perfekcionismus a kontrolu. SOCIÁL: skupina proti izolaci (sdílení, ne soutěž), hodnota nezávislá na vzhledu. POZOR: arte je DOPLNĚK, ne náhrada léčby (somatické riziko ohrožuje život). — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.120, 122–124, 126	pripad10 arteterapie indikace
Případ 10: které dělení arteterapie zvolit a proč skupina bez soutěže?	PRODUKTIVNÍ (vlastní tvorba), individuální i SKUPINOVÁ, terapeuticky arteterapie jako součást léčby. Skupina proto, že klientka se postupně IZOLUJE od vrstevníků → sdílení a příslušnost; ale BEZ soutěže a srovnávání těl (to by živilo perfekcionismus a body image patologii). — Zdroj: arte Liebmann ⚠️ ověřit; klinicky Vágnerová STR.123	pripad10 skupinová arteterapie deleni
Proč je u poruch příjmu potravy zásada „proces > produkt” ZVLÁŠŤ důležitá?	Protože jádrem osobnosti u PPP je PERFEKCIONISMUS, vysoké aspirace a nízké sebevědomí navzdory výkonu. Kdyby se dílo hodnotilo esteticky, živilo by to „musím být dokonalá”. Arteterapie naopak nabízí pole, kde NELZE SELHAT — odnaučuje vázat sebeúctu na výkon a vzhled. — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; perfekcionismus klinicky Vágnerová STR.123	pripad10 arteterapie proces-vs-produkt
Jak vést arteterapii u PPP (čím se vyznačuje)?	Proces > produkt ZVLÁŠŤ důsledně (perfekcionismus). Práce s TĚLESNÝM SCHÉMATEM (obrys těla, autoportrét) — realita vs. zkreslení. Vyjádření EMOCÍ bez slov (úzkost, vina, vztek na sebe), pak teprve reflexe. Bezpečí, nedirektivnost, žádná soutěž ani srovnávání těl (respekt k popírání). DOPLNĚK k lékařské péči a psychoterapii, ne náhrada. — Zdroj: arte Šicková-Fabrici/Slavík ⚠️ ověřit; klinicky Vágnerová STR.120, 122–124, 126	pripad10 arteterapie principy
Případ 10: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: PRODUKTIVNÍ, individuální i skupinová, NEDIREKTIVNÍ, důsledně PROCES-orientovaná (perfekcionismus), jako DOPLNĚK komplexní léčby (lékař + psychoterapie + výživa). Cíle: práce s tělovým schématem/body image, vyjádření emocí, oslabení perfekcionismu a potřeby kontroly, SEBEPŘIJETÍ mimo vzhled a výkon. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle klinicky Vágnerová STR.120, 123–124, 126	pripad10 arteterapie volba-pristupu
Případ 10: čeho se v arteterapii VYVAROVAT?	Nehodnotit dílo esteticky a nesrovnávat klienty (u perfekcionismu obzvlášť škodí). NENAHRAZOVAT arteterapií lékařskou péči (život ohrožující somatické riziko). Neapelovat na vůli a nebagatelizovat („móda”). NECHVÁLIT hubnutí ani „pevnou vůli” (posilující impulz poruchy). Nezařazovat soutěž a srovnávání těl ve skupině. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.123, 126	pripad10 arteterapie chyby
Návrh: jak vypadá cyklus jednoho arteterapeutického sezení u PPP?	1 Naladění (bezpečí) → 2 Volná tvorba BEZ zadání výsledku → 3 Téma (tělo/emoce) → 4 Reflektivní dialog BEZ hodnocení → 5 Ocenění PROCESU (↺). Důraz na to, že NELZE SELHAT (proces > produkt) jako protilék na perfekcionismus; tělo a emoce jako témata, reflexe bez hodnocení. — Zdroj: arte struktura Liebmann ⚠️ ověřit; psych. jádro klinicky Vágnerová STR.120, 123–124	pripad10 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 10 (bezpečné → konfrontační)?	Progrese: barva nálady/volná stopa → modelování z hlíny (kontakt s tělem) → OBRYS TĚLA v životní velikosti → autoportrét (jak se vidím × jak mě vidí druzí) → koláž „kdo jsem mimo vzhled”. Obrys těla a autoportrét = práce s narušeným tělovým schématem; koláž = identita nezávislá na vzhledu a výkonu. — Zdroj: Šicková-Fabrici / Slavík ⚠️ ověřit; tělové schéma klinicky Vágnerová STR.120, 122	pripad10 arteterapie-technika techniky
Co je projekce/diagnostika v arteterapii u PPP a na co dát pozor?	PROJEKCE = promítnutí vztahu k tělu a emocí do díla (základ arteterapeutické diagnostiky). U PPP se v tvorbě často zrcadlí NARUŠENÉ TĚLOVÉ SCHÉMA (deformované proporce postavy) a potřeba kontroly. Interpretovat OPATRNĚ a vždy v týmu — arte nenahrazuje psychiatrickou diagnostiku ani somatické vyšetření. — Zdroj: Šicková-Fabrici ⚠️ ověřit; tělové schéma klinicky Vágnerová STR.120, 122	pripad10 arteterapie-diagnostika projekce
Případ 10 vs. 11: čím se liší arteterapie u PPP a u poruch chování (oba emoční/rodina)?	Společné: psychogenní/emoční jádro a klíčová role DYSFUNKČNÍ RODINY. Rozdíl: u PPP (10) arte pracuje s VZTAHEM K TĚLU, perfekcionismem a sebepřijetím (kontrola, ne agrese) — proces > produkt zvlášť důležité. U poruch chování (11) je arte VENTIL AGRESE a zpracování traumatu. PPP je navíc psychiatrická porucha (arte = doplněk léčby). — Zdroj: klinicky Vágnerová STR.124; srovnání napříč kazuistikami	pripad10 klientská skupina diferenciace
Případ 11 (poruchy chování na pozadí týrání, 9 let): proč právě arteterapie? (bio·psycho·sociál)	BIO: tělesné ODREAGOVÁNÍ napětí a agrese přijatelnou formou (rytí, trhání, hnětení). PSYCHO: bezpečný VENTIL agrese + SYMBOLICKÉ zpracování traumatu přes obraz (ne přímo slovy), posílení sebehodnocení proti roli „špatného dítěte”. SOCIÁL: obnova DŮVĚRY přes bezpečný vztah (kompenzační zkušenost). POZOR: vždy AŽ PO zajištění bezpečí (řešit týrání — OSPOD). — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.180–183	pripad11 arteterapie indikace
Případ 11: které dělení arteterapie zvolit a proč nejdřív individuálně?	PRODUKTIVNÍ (vlastní tvorba), NEJPRVE INDIVIDUÁLNÍ → skupina až později, terapeuticky arteterapie (zpracování traumatu). Individuálně proto, že dítě má GENERALIZOVANOU NEDŮVĚRU (čeká ublížení i od neutrálních osob) → nejdřív je třeba trpělivě vybudovat bezpečný vztah, teprve pak zvládne skupinu. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.183	pripad11 arteterapie deleni
Jak vést arteterapii u poruch chování na pozadí týrání (čím se vyznačuje)?	NEJDŘÍV BEZPEČÍ, pak terapie (řešit týrání — OSPOD; jinak jen příznak). Bezpečný VENTIL agrese (rytí, trhání, hnětení). SYMBOLICKÉ zpracování traumatu přes obraz/hru, NE přímým vyptáváním. Budování důvěry, nedirektivnost. Jasné hranice BEZ NÁSILÍ. POZOR na RE-TRAUMATIZACI — respektovat tempo, nevynucovat odhalení. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; klinicky Vágnerová STR.150, 180–183	pripad11 arteterapie principy
Případ 11: který arteterapeutický přístup zvolit a jaké cíle?	Přístup: PRODUKTIVNÍ, nejprve individuální, NEDIREKTIVNÍ, proces-orientovaný, s jasnými hranicemi BEZ NÁSILÍ. Cíle: bezpečný VENTIL AGRESE, SYMBOLICKÉ zpracování traumatu, OBNOVA DŮVĚRY, posílení sebehodnocení (proti roli „špatného dítěte”). Vše AŽ PO zajištění bezpečí dítěte. — Zdroj: arte Šicková-Fabrici/Liebmann ⚠️ ověřit; cíle a bezpečí klinicky Vágnerová STR.150, 180–183	pripad11 arteterapie volba-pristupu
Případ 11: čeho se v arteterapii VYVAROVAT?	Nevykládat chování jako „nevychovanost”/zlobení (je to důsledek týrání). ŽÁDNÉ tresty ani tvrdá disciplína (posilují agresi a model násilí). POZOR na RE-TRAUMATIZACI — nevynucovat odhalení traumatu. Nepřehlížet týrání (ohlašovací povinnost). Nehodnotit dílo esteticky a nepotvrzovat negativní sebepojetí (kritika, ponižování). — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; klinicky Vágnerová STR.150, 180–183	pripad11 arteterapie chyby
Návrh: jak vypadá cyklus jednoho arteterapeutického sezení u dítěte s CAN/poruchou chování?	1 Bezpečné naladění (rituál) → 2 VENTIL napětí (rytí/hnětení) → 3 Volná/symbolická tvorba → 4 Sdílení v bezpečí BEZ tlaku → 5 Ocenění + pečlivé UZAVŘENÍ (↺). Stálý bezpečný rituál, nejdřív vybít napětí, pak symbolická tvorba; důsledné uzavření sezení kvůli prevenci re-traumatizace. — Zdroj: arte struktura Liebmann ⚠️ ověřit; bezpečí/důvěra klinicky Vágnerová STR.183	pripad11 arteterapie-technika cyklus-sezeni
Návrh konkrétních technik pro případ 11 (ventil → zpracování)?	Progrese: rytí/trhání/hnětení (ventil agrese) → čmárání „zlost × klid” (regulace emocí) → kresba „bezpečného místa” (jistota) → symbolický příběh/loutka (zpracování traumatu v bezpečné vzdálenosti) → koláž „kdo jsem / co umím” (sebehodnocení). Trauma se zpracovává SYMBOLICKY, ne přímým vyptáváním. — Zdroj: Šicková-Fabrici / Slavík ⚠️ ověřit; symbolika rámcově Vágnerová STR.182	pripad11 arteterapie-technika techniky
Případ 11: co je re-traumatizace a jak jí v arteterapii předejít?	RE-TRAUMATIZACE = znovuprožití traumatu, když je téma otevřeno necitlivě nebo příliš rychle. Prevence: pracovat SYMBOLICKY (obraz/hra, ne přímé vyptávání), respektovat TEMPO dítěte, nevynucovat odhalení, sledovat reakce, pečlivě uzavírat sezení a vrátit dítě do bezpečí. Nejdřív musí být zajištěno reálné bezpečí (ukončené týrání). — Zdroj: arte Šicková-Fabrici ⚠️ ověřit; bezpečí klinicky Vágnerová STR.180–181, 183	pripad11 arteterapie re-traumatizace
Co je projekce/diagnostika v arteterapii u dítěte s CAN a na co dát pozor?	PROJEKCE = promítnutí traumatu, agrese a strachu do díla → symbolické odreagování i základ diagnostiky. U týraného dítěte se mohou objevit témata násilí, ohrožení, „špatného dítěte”. Interpretovat OPATRNĚ a v týmu; dílo není důkaz ani výslech — slouží bezpečnému vyjádření, ne k vynucení přiznání. Nález podezření na týrání → ohlašovací povinnost. — Zdroj: Šicková-Fabrici ⚠️ ověřit; CAN klinicky Vágnerová STR.180, 182	pripad11 arteterapie-diagnostika projekce
Případ 11 vs. 15 a 10: čím se liší arteterapeutická optika?	11 a 15 sdílejí jádro TRAUMA / TÝRÁNÍ (CAN) → priorita BEZPEČÍ a obnovy DŮVĚRY, symbolické zpracování (u 15 navíc tělesná vada a sebepřijetí vzhledu). Oproti tomu u PPP (10) jde také o emoční/rodinné jádro, ale arte pracuje s VZTAHEM K TĚLU a KONTROLOU (perfekcionismus), ne s ventilací agrese. U 11 je klíčový bezpečný VENTIL AGRESE. — Zdroj: klinicky Vágnerová STR.182–183; srovnání napříč kazuistikami	pripad11 klientská skupina diferenciace
